customer_nr,mcc,hr_arvl_tusc,day_of_wk_arvl_tusc,mon_arvl_tusc,day_arvl_tusc,loc_arvl_tusc,hr_arvl_italy,day_of_wk_arvl_italy,mon_arvl_italy,day_arvl_italy,loc_arvl_italy,locs_outside_tuscany,unique_locs_outside_tuscany,start_lat,start_lon,end_lat,end_lon,hrs_in_italy,hrs_in_tusc,avg_lat,avg_lon,top_lat,top_lon,std_lat,std_lon,hrs_outside_tuscany,start_lat_tusc,start_lon_tusc,num_unique_loc_in_tusc,num_loc_in_tusc,num_unique_loc_in_italy,num_loc_in_italy,st_time,en_time,total_time,forest,water,river,park,arezzo,florence,grosseto,livorno,lucca,pisa,pistoia,siena,coast,num_attrs,country,label
8668697.0,216.0,10.0,6.0,11.0,4.0,59261011.0,10.0,6.0,11.0,4.0,3600848.0,0.0,0.0,43.7571,11.1735,44.0757,11.2259,22.0,22.0,43.436935,11.03567,43.4031,10.861,0.27051,0.21819,0.0,43.7571,11.1735,16.0,17.0,16.0,17.0,1509792240000000000,1509871860000000000,1316.0,0.0,0.0,0.0,0.0,0.0,301.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8638559.0,216.0,9.0,4.0,11.0,2.0,3601891.0,9.0,4.0,11.0,2.0,3601891.0,0.0,0.0,43.4549,10.8105,43.6966,10.7609,60.0,60.0,43.570196,11.213026,43.5068,11.1819,0.157248,0.214793,0.0,43.4549,10.8105,13.0,16.0,13.0,16.0,1509615000000000000,1509832380000000000,3602.0,0.0,0.0,0.0,0.0,0.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8675166.0,216.0,21.0,5.0,11.0,3.0,3047941.0,20.0,5.0,11.0,3.0,2600191.0,3.0,3.0,44.529,11.2941,43.7012,10.4012,112.0,111.0,43.756118,11.158543,43.7714,11.254,0.23948,0.27334,1.0,43.942,11.2214,24.0,27.0,27.0,30.0,1509740760000000000,1510146900000000000,6694.0,0.38210837430018507,0.0,0.0,0.0,0.0,3880.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,Hungary,0.0
9226697.0,216.0,19.0,5.0,2.0,9.0,3036681.0,19.0,5.0,2.0,9.0,3036681.0,0.0,0.0,43.0478,10.8921,43.0478,10.8921,24.0,24.0,43.0478,10.8921,43.0478,10.8921,0.0,0.0,0.0,43.0478,10.8921,2.0,8.0,2.0,8.0,1518204780000000000,1518293880000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,
8628748.0,216.0,13.0,3.0,11.0,1.0,3658149.0,13.0,3.0,11.0,1.0,3658149.0,6.0,3.0,43.5325,10.3424,43.8307,10.407,54.0,54.0,43.85786,10.297377,43.8651,10.2603,0.078682,0.095408,0.0,43.5325,10.3424,24.0,35.0,27.0,41.0,1509542040000000000,1509739860000000000,3251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,35.0,0.0,0.0,85.0,0.0,Hungary,0.0
8638582.0,216.0,17.0,3.0,11.0,1.0,57080012.0,10.0,3.0,11.0,1.0,37198033.0,60.0,53.0,45.8846,13.4735,45.8846,13.4735,100.0,89.0,43.738325,10.930827,43.4752,10.7279,0.66608,0.595167,11.0,44.0757,11.2259,127.0,307.0,180.0,367.0,1509532800000000000,1509896280000000000,4632.0,0.0,4.81508957379086e-06,0.0,0.0,0.0,344.0,0.0,26.0,85.0,186.0,0.0,121.0,0.0,0.0,Hungary,2.0
8649381.0,216.0,7.0,4.0,11.0,2.0,3631302.0,3.0,4.0,11.0,2.0,2511731.0,85.0,68.0,45.834,13.1035,46.8953,11.4233,39.0,28.0,44.406151,11.114741,43.924,10.9349,0.862612,0.608811,11.0,44.0757,11.2259,18.0,37.0,86.0,122.0,1509592560000000000,1509736440000000000,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,0.0,0.0,0.0,Hungary,0.0
8640879.0,216.0,11.0,3.0,11.0,1.0,3027692.0,8.0,3.0,11.0,1.0,3156144.0,21.0,13.0,42.0994,12.1682,42.6507,11.9994,14.0,5.0,42.557127,11.819383,42.7232,11.5341,0.118211,0.203169,9.0,42.7715,11.6997,15.0,36.0,28.0,57.0,1509523440000000000,1509574980000000000,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hungary,0.0
8653575.0,216.0,13.0,3.0,11.0,1.0,3656842.0,13.0,3.0,11.0,1.0,3656842.0,1.0,1.0,43.7012,10.4012,43.7012,10.4012,117.0,117.0,43.73956,10.778914,43.7353,10.8186,0.067439,0.218919,0.0,43.7012,10.4012,87.0,274.0,88.0,275.0,1509542580000000000,1509965940000000000,6380.0,0.010269128578666882,0.0,0.0,0.0,0.0,158.0,0.0,42.0,367.0,419.0,0.0,0.0,0.0,0.0,Hungary,0.0
8653727.0,216.0,17.0,3.0,11.0,1.0,3631302.0,13.0,3.0,11.0,1.0,2052182.0,86.0,75.0,45.7006,13.8342,45.6634,12.2434,105.0,91.0,43.93731,11.303884,43.7623,11.242,0.685182,0.458557,14.0,44.0757,11.2259,96.0,168.0,171.0,254.0,1509542760000000000,1509923160000000000,5506.0,0.00042874061626205727,0.0,0.0,0.00044381171090218245,0.0,4607.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,Hungary,2.0
